Etiquette lignes nom complet;Coordonnees X (WGS 84);;Numero;;Nom;Sectorisation
0072 - UP-RIMIEZ1 - Usine Super-Rimiez / Eau traitée;Sur la couche shapefile;;72;UP-RIMIEZ1;Usine Super-Rimiez;NICE / HAUT SERVICE SUPERIEUR AIRE ST MICHEL
0073 - UP-MORENO1 - Usine Jean Moreno / Eau traitée;;;73;UP-MORENO1 ;Usine Jean Moreno ;NICE / BAS SERVICE
0074 - UP-PRAIRIES - station des Prairies;;;74;UP-PRAIRIES;Station des Prairies;NICE / BAS SERVICE
0075 - ZD-DISTR11 - RP Place Général Goiran;;;75;ZD-DISTR11;RP Place General Goiran;NICE / MOYEN SERVICE NORD
0076 - ZD-DISTR11 - RP Jardin du Monastère de Cimiez;;;76;ZD-DISTR11;RP Jardin du Monastere de Cimiez;NICE / HAUT SERVICE NORD RIMIEZ
0077 - ZD-DISTR11 - RP 176 Boulevard Carnot;;;77;ZD-DISTR11;RP 176 Boulevard Carnot;NICE / HAUT SERVICE EST MONT BORON 1
0078 - ZD-DISTR11 - RP Réservoir de Cap de Croix;;;78;ZD-DISTR11;RP Reservoir de Cap de Croix;NICE / MOYEN SERVICE NORD
0079 - ZD-DISTR11 - Sanisette Plateau du Mont Boron;;;79;ZD-DISTR11;Sanisette Plateau du Mont Boron;NICE / HAUT SERVICE EST COL DE VILLEFRANCHE
0080 - ZD-DISTR11 - Eglise Notre-Dame de France;;;80;ZD-DISTR11;Eglise Notre-Dame de France;NICE / HAUT SERVICE EST COL DE VILLEFRANCHE
0082 - ZD-DISTR11 - RP Ecole Marcel Pagnol;;;82;ZD-DISTR11;RP Ecole Marcel Pagnol;NICE / HAUT SERVICE EST ARIANE
0083 - ZD-DISTR11 - RP 170 Route de Gairaut;;;83;ZD-DISTR11;RP 170 Route de Gairaut;NICE / HAUT SERVICE NORD GAIRAUT
0084 - ZD-DISTR11 - Clos bouliste CASE;;;84;ZD-DISTR11;Clos bouliste CASE;NICE / HAUT SERVICE SUPERIEUR RIMIEZ
0085 - ZD-DISTR11 - RP tennis de La Lauvette;;;85;ZD-DISTR11;RP tennis de La Lauvette;NICE / HAUT SERVICE EST BARELLA
0095 - ZD-DISTR31 - RP Ecole Emmanuel Philibert;;;95;ZD-DISTR31;RP Ecole Emmanuel Philibert;NICE / BAS SERVICE
0097 - ZD-DISTR11 - RP Square Jean Giono;;;97;ZD-DISTR11;RP Square Jean Giono;NICE / BAS SERVICE
0098 - ZD-DISTR11 - 9 rue Petit Fabron;;;98;ZD-DISTR11;9 rue Petit Fabron;NICE / MSO 2 SMA
0100 - ZD-DISTR11 - RP Domaine Mirestello;;;100;ZD-DISTR11;RP Domaine Mirestello;NICE / HAUT SERVICE NORD BAUME
0101 - ZD-DISTR31 - RP Jardin Alsace Lorraine;;;101;ZD-DISTR31;RP Jardin Alsace Lorraine;NICE / BAS SERVICE
0102 - ZD-DISTR31 - Station BP Av A. Martin;;;102;ZD-DISTR31;Station BP Av A. Martin;NICE / BAS SERVICE
0104 - ZD-DISTR31 - RP Ecole des Moulins;;;104;ZD-DISTR31;RP Ecole des Moulins;NICE / BAS SERVICE
0105 - ZD-DISTR21 - RP compteur CHU St ROCH;;;105;ZD-DISTR21;RP compteur CHU St ROCH;NICE / BAS SERVICE
0106 - ZD-DISTR21 - 42 Rue Theodore de Banville;;;106;ZD-DISTR21;42 Rue Theodore de Banville;NICE / BAS SERVICE
0107 - ZD-DISTR31 - RP 81 Rte St. Pierre de Féric;;;107;ZD-DISTR31;RP 81 Rte St. Pierre de Feric;NICE / HAUT SERVICE OUEST ST PIERRE DE FERIC 2
0108 - ZD-DISTR31 - RP Jardin de l'Archet;;;108;ZD-DISTR31;RP Jardin de l'Archet;NICE / HAUT SERVICE SAINT ANTOINE
0109 - ZD-DISTR31 - RP Lotissement des étoiles 131 St Pierre de Feric;;;109;ZD-DISTR31;RP Lotissement des etoiles;NICE / HAUT SERVICE OUEST COSTIERE_Z2
0110 - ZD-DISTR31 - BF St Antoine de Ginestière;;;110;ZD-DISTR31;BF St Antoine de Ginestiere;NICE / HAUT SERVICE OUEST SAINT ANTOINE
0111 - ZD-DISTR31 - RP St Antoine Ginestière Durandy;;;111;ZD-DISTR31;RP St Antoine Ginestiere Durandy;NICE / HAUT SERVICE OUEST SAINT ANTOINE
0113 - ZD-DISTR31 - Cimetière St Roman de Bellet;;;113;ZD-DISTR31;Cimetiere St Roman de Bellet;NICE / PILON 2
1428 - ZD-DISTR11 - Clos bouliste AS Falicon;;;1428;ZD-DISTR11;Clos bouliste AS Falicon;NICE / HAUT SERVICE SUPERIEUR AIRE ST MICHEL
3867 - ZD-DISTR11 - RP Compteur St Christophe;;;3867;ZD-DISTR11;RP Compteur St Christophe;NICE / MOYEN SERVICE EST ARIANE
3969 - ZD-DISTR31 - RP Lingostière Carrefour;;;3969;ZD-DISTR31;RP Lingostiere Carrefour;NICE / BAS SERVICE
4165 - ZD-DISTR11 - Centre Antoine Lacassagne;;;4165;ZD-DISTR11;Centre Antoine Lacassagne;NICE / MOYEN SERVICE NORD
4668 - ZD-DISTR11 - WC Port de Nice Capitainerie;;;4668;ZD-DISTR11;WC Port de Nice Capitainerie;NICE / BAS SERVICE
9088 - ZD-DISTR11 - RP HLM LAS PLANAS;;;9088;ZD-DISTR11;RP HLM las planas;NICE / HAUT SERVICE NORD GAIRAUT
9090 - ZD-DISTR11 - R Réservoir Ste MARGUERITE;;;9090;ZD-DISTR11;R Reservoir Ste marguerite;NICE / MSO 2 SMA
9100 - ZD-DISTR11 - RESERVOIR BATTERIE;;;9100;ZD-DISTR11;Reservoir batterie;NICE / HAUT SERVICE SUPERIEUR EST 1
9101 - ZD-DISTR11 - Réservoir de RIMIEZ;;;9101;ZD-DISTR11;Reservoir de RIMIEZ;NICE / FEEDER RIMIEZ MSO et NICE / HAUT SERVICE SUPERIEUR RIMIEZ et NICE / HAUT SERVICE NORD RIMIEZ
9107 - ZD-DISTR11 - Réservoir de LA PLANA;;;9107;ZD-DISTR11;Reservoir de LA PLANA;NICE / HAUT SERVICE SUPERIEUR PLANA et NICE / HAUT SERVICE SUPERIEUR AIRE ST MICHEL
9110 - ZD-DISTR11 - Réservoir du Mt BORON 216;;;9110;ZD-DISTR11;Reservoir du Mt BORON 216;NICE / HAUT SERVICE EST COL DE VILLEFRANCHE
9114 - ZD-DISTR11 - Réservoir de l' ARIANE;;;9114;ZD-DISTR11;Reservoir de l' ARIANE;NICE / HAUT SERVCE EST ARIANE et NICE / HAUT SERVICE EST BARELLA
9115 - ZD-DISTR11 - Réservoir de BARELLA;;;9115;ZD-DISTR11;Reservoir de BARELLA;NICE / HAUT SERVICE EST BARELLA et NICE / HAUT SERVICE EST ABADIE
9116 - ZD-DISTR11 - Réservoir de L'ABADIE;;;9116;ZD-DISTR11;Reservoir de L'ABADIE;TOURRETTE LEVENS / ABADIE-ROHIERE_M10
9120 - ZD-DISTR21 - RP Ecole St PANCRACE;;;9120;ZD-DISTR21;RP Ecole St Pancrace;NICE / HAUT SERVICE SUPERIEUR AIRE ST MICHEL
9122 - ZD-DISTR21 - RP La Costière Ecole LES GENETS;;;9122;ZD-DISTR21;RP La Costiere Ecole les genets;NICE / HAUT SERVICE OUEST COSTIERE_Z1
9123 - ZD-DISTR21 - RESERVOIR LA COSTIERE;;;9123;ZD-DISTR21;Reservoir la costiere;NICE / HAUT SERVICE OUEST COSTIERE_Z1 et NICE / HAUT SERVICE OUEST COSTIERE_Z2
9869 - ZD-Distr31- Fontaine St Isidore;;;9869;ZD-DISTR31;Fontaine St Isidore;NICE / BAS SERVICE
9889 - ZD-Distr11 - Fontaine Rob. poussoir Abadie devant l'église;;;9889;ZD-DISTR11;Fontaine Rob. poussoir Abadie devant l'eglise;NICE / HAUT SERVICE EST ABADIE
